handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
danieli.cc,10,3110,419,2023-05-06T21:41:50.044Z,False,False,False
ederluiznoticias.bsky.social,3,6,13,2025-07-28T17:23:55.498Z,False,False,False
maria1372.bsky.social,2,2859,2761,2024-08-31T22:57:19.700Z,False,False,False
takemeout.bsky.social,1,9887,764,2023-04-27T22:42:34.601Z,False,False,False
manuel-bdc.bsky.social,2,1194,690,2024-04-11T16:46:11.613Z,False,False,False
jtml.bsky.social,24,1085,1099,2024-04-09T15:58:17.515Z,False,False,False
ichunoticias.bsky.social,1,71,52,2024-09-20T12:39:37.209Z,False,False,False
yukhey.bsky.social,7,293,90,2023-10-01T23:20:56.067Z,False,False,False
fumecigarros.bsky.social,2,1252,619,2023-04-13T18:28:40.512Z,False,False,False
izawinnah.bsky.social,3,662,1000,2023-07-03T16:02:14.491Z,False,False,False
discoelisa.bsky.social,2,139,201,2023-09-18T19:20:57.589Z,False,False,False
heitorvserpa.bsky.social,1,32,32,2023-06-30T00:16:31.334Z,False,False,False
piauhysyndrome.bsky.social,1,1299,1013,2023-08-31T01:08:23.032Z,False,False,False
syderas.bsky.social,1,195,806,2024-08-30T19:48:48.733Z,False,False,False
csena2k2.bsky.social,4,4611,5528,2024-04-08T21:27:16.765Z,False,False,True
rottenshangrila.bsky.social,1,332,831,2024-02-06T20:57:19.626Z,False,False,False
beatrixolive.bsky.social,1,342,298,2023-07-10T22:38:25.876Z,False,False,False
kiskiando.bsky.social,2,551,708,2023-11-02T02:19:31.214Z,False,False,False
ilustralyly.bsky.social,1,287,1226,2024-09-17T18:45:24.112Z,False,False,False
nonabyte.bsky.social,1,505,255,2023-07-27T20:46:07.859Z,False,False,False
edujf.bsky.social,1,324,353,2024-09-08T06:10:48.821Z,False,False,False
baruquinhobr.bsky.social,12,5100,5541,2023-11-21T18:04:21.692Z,False,False,False
bia.somosnma.com.br,3,1584,1379,2023-11-07T23:57:09.459Z,False,False,False
adrianaleao.bsky.social,1,766,713,2023-07-01T18:29:53.536Z,False,False,False
tallitaramos.bsky.social,3,2752,347,2023-04-25T22:22:47.351Z,False,False,False
mayarlathotep.bsky.social,1,366,156,2023-07-03T10:49:31.050Z,False,False,False
stedilemst.bsky.social,1,4527,1,2024-09-03T13:28:28.504Z,False,False,False
dextervicente.bsky.social,7,198,333,2023-08-02T19:02:19.414Z,False,False,False
jessjones.bsky.social,2,84,52,2023-06-06T18:25:48.887Z,False,False,False
paulo.pfmj.me,5,1019,318,2023-06-18T17:47:52.087Z,False,False,False
lynchiancafe.bsky.social,1,261,98,2023-07-20T13:57:18.039Z,False,False,False
letrasleo.bsky.social,1,1179,390,2023-06-22T17:35:03.345Z,False,False,False
anitanapraia.bsky.social,3,708,664,2025-02-08T22:37:19.445Z,False,False,False
agente.bsky.social,5,619,284,2023-06-19T23:02:15.933Z,False,False,False
thirteentheri.bsky.social,1,192,132,2023-08-05T18:08:46.883Z,False,False,False
astordasilva.bsky.social,2,405,265,2023-07-28T20:16:24.387Z,False,False,False
peacachy.bsky.social,27,1155,817,2024-08-29T20:39:50.819Z,False,False,False
showgirlx.bsky.social,1,689,335,2024-08-30T20:44:09.635Z,False,False,False
jacaranda.bsky.social,2,195,203,2023-08-01T22:21:59.358Z,False,False,False
pheduardo.bsky.social,1,29,51,2024-08-31T02:20:13.197Z,False,False,False
natransversal.bsky.social,4,2735,1073,2023-04-21T00:55:34.125Z,False,False,False
opinapri.bsky.social,1,1766,1411,2024-04-07T20:48:25.094Z,False,False,False
valterschwarz.bsky.social,1,1315,874,2023-05-26T11:46:42.040Z,False,False,False
vituxo.bsky.social,1,1590,1183,2023-05-29T23:37:36.148Z,False,False,False
annalouise1.bsky.social,1,234,89,2024-04-07T23:13:22.033Z,False,False,False
arrobagaf.bsky.social,4,1270,1166,2023-06-17T18:21:09.958Z,False,False,False
carlosminc.bsky.social,1,17985,12445,2024-04-11T14:08:17.152Z,False,False,False
madurogay62.bsky.social,5,3224,3946,2024-08-30T20:03:21.734Z,False,False,False
cristalmuniz.bsky.social,1,2137,452,2024-08-31T20:39:58.901Z,False,False,False
yamadactbageo.bsky.social,8,880,890,2023-06-29T00:26:41.395Z,False,False,False
