handle,text,is_recent_account,is_following_ratio_high,has_duplicate_posts
contagemcorona1.bsky.social,"🟠 Vacina contra herpes-zóster não só previne a doença como pode reduzir risco de infarto e AVC.

jornal.usp.br/radio-usp/va...",False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Vacinas salvam vidas!",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 08/09/2025

N° de infectados: 39.318.849
N° de mortos: 716.644

Foram 303 casos e 2 mortes em 24h

Doses aplicadas da vacina: 500.524.800",False,False,True
contagemcorona1.bsky.social,"🟣 Os idosos estão entre os grupos que mais sofrem com as complicações da gripe.

 A vacina reduz os riscos de internação e mortalidade pela doença e está liberada para todas as pessoas com 6 meses de idade ou mais.

Fonte: Prefeitura do Rio de Janeiro",False,False,True
contagemcorona1.bsky.social,"🟠 Nova vacina pneumocócica será mais potente; disponibilização no SUS está prevista para 2026.

revistacrescer.globo.com/saude/notici...",False,False,True
contagemcorona1.bsky.social,"Comece bem a semana colocando em dia a caderneta de vacinação.

Várias doenças correm o risco de voltar a assolar o país diante da queda na imunização.

O negacionismo já causou muita barbárie.

Acredite na ciência. VACINA SIM
E não esqueça das crianças.",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 07/09/2025

N° de infectados: 39.318.546
N° de mortos: 716.642

Foram 300 casos e 2 mortes em 24h

Doses aplicadas da vacina: 500.524.800",False,False,True
contagemcorona1.bsky.social,"🟡Atualizar a caderneta de vacinação das crianças é um ato de responsabilidade e amor. 

Vacina SIM, BRASIL

Doenças graves não podem voltar!",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 06/09/2025

N° de infectados: 39.318.246
N° de mortos: 716.640

Foram 300 casos e 4 mortes em 24h

Doses aplicadas da vacina: 500.524.620",False,False,True
contagemcorona1.bsky.social,"🟡RN tem baixa adesão à vacina da gripe e cobertura está abaixo da meta.

tribunadonorte.com.br/saude/rn-tem...",False,False,True
contagemcorona1.bsky.social,"Atualizar a caderneta de vacinação das crianças é um ato de responsabilidade e amor. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"Vacina contra a gripe é fundamental. 

Atenção Rio de Janeiro ⬇️",False,False,True
contagemcorona1.bsky.social,"Vacina contra a poliomielite é segura. 

Não caia em fake news.

Uma doença tão grave não pode voltar!",False,False,True
contagemcorona1.bsky.social,"Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Essa imunização é muito importante. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"⚫️EUA: INACREDITÁVEL 

Governo da Flórida diz que vai acabar com vacina infantil obrigatória.

Que fundo de poço...
 noticias.uol.com.br/internaciona...",False,False,True
contagemcorona1.bsky.social,"Vacinar as crianças contra a poliomielite é seguro.

Não caia em fake news! 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 03/09/2025

N° de infectados: 39.317.946
N° de mortos: 716.636

Foram 300 casos e 5 mortes em 24h

Doses aplicadas da vacina: 500.524.211",False,False,True
contagemcorona1.bsky.social,Vacina Rio de Janeiro ⬇️,False,False,True
contagemcorona1.bsky.social,"BOLETIM ATUALIZADO COVID19 no BRASIL 

Fonte: Sec de Saúde dos Estados 

Data: 02/09/2025

N° de infectados: 39.317.646
N° de mortos: 716.631

Foram 400 casos e 3 mortes em 24h

Doses aplicadas da vacina: 500.523.998",False,False,True
contagemcorona1.bsky.social,"🟠Vacina contra o HPV pode prevenir alguns tipos de câncer. 

Essa imunização é muito importante. 

Vacina SIM",False,False,True
contagemcorona1.bsky.social,"Vacinar as crianças contra a poliomielite é um ato de responsabilidade e amor. 

VACINA SIM",False,False,True
