index,clean_text
251,poema coletivo antítese começo continuam defende cloroquina pró vacina espalha mentira defendo verdade nega ciência estimulo consciência contra leitura amo livraria agora
252,matar criança genocídio indígena genocídio palestino negociar vacina pandemia perseguir rivais políticos ponto terem mudar país exploração trabalho trabalho escravo transfobia feminicidio homofobia racismo limite assassinato kkkirk
253,pílulas diárias estratégia saúde família casos cólera aumentam ozempic disputa vacina contra hpv parcerias saúde américa latina drogas poluição outraspalavras net outrasaude
254,embora tb nao saiba tá vacina covid aqui grupos prioritários ainda conseguem anualmente sdds vacina peguei covid semana passada
255,toda vez vou tomar vacina gripe pergunto covid nunca
256,engraçado aqui faz dois anos vejo unidade vacina covid pra mim
257,mãe super confortável antivacina grupo mães vou ficar super confortável dar carteirada totalmente pró vacina
258,encerado processo golpe estado espero pgr agora prepare processo julgar responsáveis morte 702 mil brasileiros covid irresponsabilidade autoridades negaram vacina tempo necessário
259,então né vimos pandemia médico tentavam matar pacientes direita receitando cloroquina outros remédios ineficazes resposta vírus época vacina cura
260,vacina contra hpv pode prevenir alguns tipos câncer vacinas salvam vidas
261,tentei tudo gripe pegou torcendo pra vacina q tomei quinta suficiente pra livrar sintomas ferrados
262,começamos semana tendo notícia dia campanha vacinação contra hpv bsky social estendeu dezembro mobilização nacional www redemacuco br 2025 09 15 p saúde vacina hpv
263,ministério saúde ampliou prazo pra vacina hpv pros jovens 15 19 anos
264,ótima notícia variantes perigosas hpv sendo eliminadas dinamarca causa vacina contra hpv vacinas funcionam viva vacinas
265,vacina gripe desse ano poderosa porque sempre ameacei ficar doente sintoma fraquíssimo passou rápido
266,aproveitei tava pontinho ver precisava tomar vacina descobri tava tétano atrasada vão pontinho verificar precisam tomar vacina pessoal
267,reclamava artistas tirados cova quantos vídeos hitler devem rolar aí elogiando trump xingando vacina corinthians
268,rússia desenvolveu vacina própria contra covid 19
269,perda tempo pega câncer tomou vacina
270,gaste feno ração vacina telefone hoje
271,impacto vacina covid esperar 2024 novo estudo revela vacina covid anual pode moldar futuro saúde pública descubra efeitos potenciais eficácia significa comunidade fique clique saiba sobre importante pes
272,queria tomar vacina qualquer vacina queria vacinar
273,tomar vacina
274,sempre tento pensar vacina ficaria internada pq viu falei sobre inalar vapor vick amg virou lei aqui antes dormir dias gripe continue remédios vai melhorar rápido sim torcendo daqui
275,amiga sim aguento pegar gripe olha q tomamos vacina né pode noite bem ruim aí comprei pastilhas xarope p tosse q apareceu aparentemente dor garganta deu aliviada tbm espero acordar ainda melhor amanhã vc tá fds
276,claro vc trabalha graça dinheiro pra comprar medicamentos necessários vacina pagar exames ginecológicos manter salário digno pro funcionários fazer plantio volumoso etc nao vai ter vacas leite queijo
277,perdi tia querida deu depressão vó comeu cérebro ponto achar 70 anos atrás ontem comprar vacina crime incentivo constante pessoas saírem fazerem qualquer coisa usar máscara
278,passei fome governo desse filho puta porque amigos ajudaram comer menos 100 mil pessoas morerram porque arrombado comprou vacina então foda safado canalha golpista réu vários processos tá triste fragilizado
279,bsky social bsky social bsky social deveriam proibir qualquer americano entrar brasil vacina
280,sim novo dar vacina vai ter entender ficante daí hahaha obg 3
281,dnv gatinho vai ter jeito vou ter q ir aí aplicar vacina bunda 3 melhoras bb
282,sentindo pouco latina pois marca bcg apesar ter provas comprovadas q tomei vacina
